Bières,Type,Teneur en alcool,Brasserie
3 Schténg,"Fermentation haute, Vieille Brune Flamande",6 %,"Brasserie Grain d'Orge , 4852 Hombourg, Liège ,,, Pour le restaurant of the DrieLaenderpunkt Aussichtsturm (Tour Baudeoin)"
IV Saison,Saison blonde,"6,5 %",Brasserie de Jandrain-Jandrenouille
V Cense,"Fermentation haute, Spéciale","7,5 %",Brasserie de Jandrain-Jandrenouille
VI Wheat,"Fermentation haute, Blanche",6 %,Brasserie de Jandrain-Jandrenouille
7-PK,Fermentation haute blonde,7 %,Brouwerij Anders!
26.2 M,Fermentation haute Blonde,6 %,Brasserie L'Échappée Belle
28 Triple,"Blonde,Triple",9 %,Brasserie 't Hofbrouwerijke
La 44 Blanche,"Fermentation haute, Blanche","5,5 %",Brasserie de La Gleize
La 44 Blonde,Blonde,"5,5 %",Brasserie de La Gleize
La 44 Brune,Fermentation haute Brune,"5,5 %",Brasserie de La Gleize
La 44 Brune Cuvée Spéciale,Fermentation haute Brune,"6,5 %",Brasserie de La Gleize
La 44 Christmas,Fermentation haute christmas,"6,0 %",Brasserie de La Gleize
La 44 Nuts Ambrée,Fermentation haute Spéciale belge,"6,0 %",Brasserie de La Gleize
La 44 Tiger Triple,Fermentation haute Blonde,"8,0 %",Brasserie de La Gleize
365 Pils Bière,Blonde,"4,7 %",Brasserie Haacht
400-Quadrigenti,Fermentation haute blonde,"5,6 %",'t Hofbrouwerijke
421 Millevertus,Spéciale,"4,2 %",Brasserie Millevertus
1414 Ambrosius,Spéciale refermentée en bouteille,5 %,Brouwerij Anders!
La 1815,Ambrée,7 %,Brasserie des Fagnes Bière brassée
1842 by Caulier,"Fermentation haute blonde, refermentation en bouteille",9 %,Brasserie 't Hofbrouwerijke
2290 Vorselaar,Fermentation haute blonde refermentée en bouteille,6 %,"Brouwerij Anders! brewed for Vzw Vorselazerus, Dorpsbier Vorselaar"
Aardmonnik,Vieille brune,8 %,De Struise Brouwers
Aarschotse Bruine,Brune,6 %,Stadsbrouwerij Aarschot
Abbaye d'Aulne Blonde des Pères 6,"Abbaye, Blonde",6 %,Brasserie du Val de Sambre
Abbaye d'Aulne Brune des Pères 6,"Abbaye, Brune",6 %,Brasserie du Val de Sambre
Abbaye d'Aulne Premier Cru,"Abbaye, Blonde",9 %,Brasserie du Val de Sambre
Abbaye d'Aulne Super Noël 9,"Abbaye, Bière de Noël",9 %,Brasserie du Val de Sambre
Abbaye d'Aulne Triple Blonde,"Abbaye, Triple",8 %,Brasserie du Val de Sambre
Abbaye d'Aulne Triple Brune,"Abbaye, Triple",8 %,Brasserie du Val de Sambre
Abbaye de Boneffe,"Abbaye, Brune",9 %,Brasserie de Tubize
Abbaye de Bonne-Espérance,Abbaye,"7,8 %",Brasserie La Binchoise
Abbaye de Bonne-Espérance Grand Cru,Abbaye,8 %,Brouwerij Het Anker 
Abbaye d'Aulne Val de Sambre,"Abbaye, Ambrée","6,4 %",Brasserie du Val de Sambre
Abbaye de Forest,"Abbaye, Triple","6,5 %",Brasserie de Silly
Abbaye de Gembloux,Triple,"8,5 %",Brasserie Lefebvre
Abbaye de la Thure,Abbaye,10 %,Brasserie Brootcoorens
Abbaye de Saint-Martin Blonde,Abbaye,7 %,Brasserie de Brunehaut
Abbaye de Saint-Martin Brune,Abbaye,8 %,Brasserie de Brunehaut
Abbaye de Saint-Martin Cuvée de Noël,"Abbaye, Bière de Noël","8,5 %",Brasserie de Brunehaut
Abbaye de Saint-Martin Triple,"Abbaye, Triple",9 %,Brasserie de Brunehaut
Abbaye de Oudkerken,Abbaye,"6,2 %",Brasserie Lefebvre
Abbaye des Rocs Blonde,"Abbaye, Fermentation haute","7,5 %",Brasserie de l'abbaye des Rocs
Abbaye des Rocs Brune,"Abbaye, Brune",9 %,Brasserie de l'abbaye des Rocs
Abbaye des Rocs Grand Cru,"Abbaye, Ale","9,5 %",Brasserie de l'abbaye des Rocs
Abbaye des Rocs Spéciale Noël,"Abbaye, Bière de Noël",9 %,Brasserie de l'abbaye des Rocs
Abbaye du Park Blonde,"Abbaye, Blonde",6 %,Brasserie Haacht
Abbaye du Park Brune,"Abbaye, Brune",6 %,Brasserie Haacht
Abdis Blond,Blonde,"6,5 %",Brasserie Roman
Abdis Bruin,Brune,"6,5 %",Brasserie Roman
Abdis Tripel,Triple,"8,2 %",Brasserie Roman
Abdij van Roosenberg Dubbel,Double,7 %,Brasserie Van Steenberge
Abdij van Roosenberg Tripel,Triple,9 %,Brasserie Van Steenberge
Achel 8 Blond,"Trappiste, Blonde",8 %,Abbaye d'Achel
Achel 8 Bruin,"Trappiste, Brune",8 %,Abbaye d'Achel
Achel Blond Extra,"Trappiste, Blonde","9,5 %",Abbaye d'Achel
Achel Bruin Extra,"Trappiste, Brune","9,5 %",Abbaye d'Achel
Aclote Black-out,Noire,"4,9 %",Brasserie La Binchoise
Aclote Blonche,Blonde,"4,9 %",Brasserie La Binchoise
Adelardus,Abbaye,7 %,Brasserie Cornelissen
Adelardus Tripel,"Abbaye, Triple",9 %,Brasserie Cornelissen
Adler,Pils,"6,5 %",Brasserie Haacht
L'Adorée,Blonde,7 %,Brasserie du Renard
Adriaen Brouwer,"Fermentation haute, Brune",5 %,Brasserie Roman
Adriaen Brouwer Dark Gold,"Fermentation haute, Brune","8,5 %",Brasserie Roman
Affligem Blond,"Abbaye, Blonde","6,8 %",Brasserie Affligem (Heineken)
Affligem Dubbel,"Abbaye, Brune","6,8 %",Brasserie Affligem (Heineken)
Affligem 950 Cuvee,"Abbaye, Blonde","6,8 %",Brasserie Affligem (Heineken)
Affligem Noël,"Abbaye, Bière de Noël",9 %,Brasserie Affligem (Heineken)
Affligem Patersvat,"Abbaye, Double","6,8 %",Brasserie Affligem (Heineken)
Affligem Tripel,"Abbaye, Triple","8,5 %",Brasserie Affligem (Heineken)
Agrumbocq,"Fermentation haute, Blanche, Fruitée","3,1 %",Brasserie du Bocq
Alpaïde,"Brune, Triple",10 %,Brasserie Nieuwhuys
Alpaïde Cuvée van de generaal,"Blonde, Triple","8,5 %",Brasserie Nieuwhuys
Akila Pils,Pils,5 %,Brasserie Louwaege
Alfri,Pils NA,"0,5 %",Brasserie Roman
Altitude 6,"Ale, Blonde",6 %,Brasserie de l'abbaye des Rocs
Alvinne Extra Restyled,Ambrée,7 %,Brasserie Alvinne
Alvinne Lex'ke,Blonde,"6,3 %",Brasserie Alvinne
Alvinne Tripel,Triple,"8,7 %",Brasserie Alvinne
Alvino Bourgogne Barrel OA,Fruitée,"5,5 %",Brasserie Alvinne
L’Amarante,Fermentation haute,8 %,Brasserie Millevertus
Ambetanterik,Stout,"8,7 %",Brasserie Het Alternatief par la Brasserie Alvinne
Ambiorix,Rouge-brune,8 %,Brasserie Slaghmuylder
Angélus Blonde,Blonde,7 %,Brasserie Brootcoorens
Angélus Brune,Brune,7 %,Brasserie Brootcoorens
Angélus Spéciale Noël,Bière de Noël,9 %,Brasserie Brootcoorens
Anker Blond,Blonde,"6,5 %",Brasserie Het Anker
Anker Boscoulis,Fruitée,"6,5 %",Brasserie Het Anker
Anker Herfstbok,"Brune, Spéciale, Bock","6,5 %",Brasserie Het Anker
Anker Pils,Pils,5 %,Brasserie Het Anker
Antiek Blond,Blonde,8 %,Brasserie Deca
Antiek Bruin,Brune,8 %,Brasserie Deca
Antiek Super 5 Blond,Blonde,5 %,Brasserie Deca
Antwerps Blond,Blonde,5 %,Huisbrouwerij 't Pakhuis
Antwerps Bruin,Brune,"5,8 %",Huisbrouwerij 't Pakhuis
Applebocq,Fruitée,"3,1 %",Brasserie du Bocq
Arabière,Blonde,8 %,De Dolle Brouwers
Archiduc,,"6,2 %",Brasserie d'Écaussinnes
Ardenne Saison,"Blonde, Saison","5,5 %",Brasserie de Battignies
Ardenne Stout,Stout,8 %,Brasserie de Battignies
A Ré,Blonde,"6,5 %",Brasserie Grain d'Orge
Arend Blond,Blonde,"6,5 %",Brasserie De Ryck
Arend Dubbel,brune,"6,5 %",Brasserie De Ryck
Arend Tripel,Blonde dorée,8 %,Brasserie De Ryck
Arend Winter,Ambrée,"6,3 %",Brasserie De Ryck
Arendonker Bruin,Brune,"8,5 %",Dorpsbrouwerije Humulus
Arendonker Tripel,Blonde dorée,8 %,Dorpsbrouwerije Humulus
Armand’4 Herfst,Vieille Gueuze,6 %,Brasserie Drie Fonteinen
Armand’4 Lente,Vieille Gueuze,6 %,Brasserie Drie Fonteinen
Armand’4 Winter,Vieille Gueuze,6 %,Brasserie Drie Fonteinen
Armand’4 Zomer,Vieille Gueuze,6 %,Brasserie Drie Fonteinen
Artevelde,Spéciale,"5,7 %",Brasserie Huyghe
Artevelde Grand Cru,Rouge-brune,"7,2 %",Brasserie Huyghe
Asterie,Blanche,"4,9 %",Brasserie d'Écaussinnes
Atomium Premier Grand Cru,Ambrée,8 %,Brasserie Van Steenberge
L'Attrait Blanche Noisette,Blanche,"5,6 %",Brasserie de l'Attrait
L'Attrait Blanche Pamplemousse,Blanche,"5,9 %",Brasserie de l'Attrait
L'Attrait Blonde,Blonde,"6,7 %",Brasserie de l'Attrait
L'Attrait Brune,Brune,"7,7 %",Brasserie de l'Attrait
L'Attrait Impérial,India Pale Ale,"8,3 %",Brasserie de l'Attrait
Aubel Double,Brune,6 %,Brasserie Grain d'Orge
Aubel Triple,Triple,9 %,Brasserie Grain d'Orge
Augrenelle,"Blonde, Bière de table","2,5 %",Brasserie Augrenoise
Augrenette,Blonde,"4,5 %",Brasserie Augrenoise
Augrenoise,Blonde,"6,5 %",Brasserie Augrenoise
Augrenoise Blonde de Noël,"Blonde, Bière de Noël",10 %,Brasserie Augrenoise
Augustijn Blond,Abbaye,"7,5 %",Brasserie Van Steenberge
Augustijn Donker,Abbaye,7 %,Brasserie Van Steenberge
Augustijn Grand Cru,"Abbaye, Triple",9 %,Brasserie Van Steenberge
L'Aurore de la Salme,Brune,"8,3 %",La Vieille Salme (Brasserie Detrembleur)
La fournil,Ambrée,"7,9 %",Brasserie de l'abbaye du Val-Dieu
Authentique 621,Brune,"7,5 %",Authentique Brasserie
Authentique Ambrée,Ambrée,5 %,Authentique Brasserie
Authentique Blonde,Blonde,"6,5 %",Authentique Brasserie
Authentique Blonde de Noël,Bière de Noël,9 %,Authentique Brasserie
Authentique Triple,Triple,"9,5 %",Authentique Brasserie
L'Autruche,Blonde,7 %,Brasserie de Silenrieux
Averbode,"Blonde, Fermentation haute","7,5 %",Brasserie Huyghe
BAB 401,Brune,8 %,Brasserie Strubbe
Babylone,Fermentation haute,7 %,Brussels Beer Project
Bacchus,Vieille brune,"4,5 %",Brasserie Van Honsebrouck
Bacchus Frambozenbière,Fruitée,5 %,Brasserie Van Honsebrouck
Bacchus Kriekenbière,Fruitée,"5,8 %",Brasserie Van Honsebrouck
Balthazar,Bière de Noël,"8,9 %",Brasserie Alvinne
Barbãr,"Blonde, Bière au miel",8 %,Brasserie Lefebvre
Barbãr Winter Bok,"Bock, Bière au miel",8 %,Brasserie Lefebvre
Barbe d'Or (Goudbaard),Blonde,"7,5 %",Brasserie Verhaeghe
Barbe Noire (Zwartbaard),Stout,9 %,Brasserie Verhaeghe
Barbe Rouge (Roodbaard),Ambrée,8 %,Brasserie Verhaeghe
La Barbiot Ambrée,Fermentation haute,"9,5 %",Brasserie La Barbiot
