Brasserie,Commune,Province,Principales bières,coordinates
Brasserie de l'abbaye de Saint-Ghislain,Saint-Ghislain,Hainaut,Abbaye de Saint-Ghislain,"(50.4477484, 3.8195241)"
Brasserie de l'abbaye de Saint-Sixte,Vleteren,Flandre-Occidentale,Westvleteren,"(50.930143, 2.7289867)"
Brasserie de l'abbaye des Rocs,Honnelles,Hainaut,Abbaye des Rocs,"(50.38168775, 3.719061535766789)"
Brasserie de l'abbaye du Val-Dieu,Aubel,Liège,Val-Dieu,"(50.69760135, 5.804543928689291)"
Brasserie de l'abbaye de Villers-la-Ville,Villers-la-Ville,Brabant wallon,Abbaye de Villers,"(47.5477, 6.46369)"
Abbaye Notre-Dame d'Orval,Florenville,Luxembourg,Orval,"(49.6409244, 5.349987917600003)"
Brasserie de l'abbaye Notre-Dame de Saint-Benoît,Hamont-Achel,Limbourg,Achel,"(51.2547636, 5.5128696)"
Brasserie de l'abbaye Notre-Dame de Saint-Rémy,Rochefort,Namur,Rochefort,"(45.9366592, -0.9616399)"
Brasserie de l'abbaye Notre-Dame de Scourmont,Chimay,Hainaut,Chimay,"(50.0356458, 4.321257313232458)"
Brasserie de l'abbaye Notre-Dame du Sacré-Cœur de Westmalle,Malle,Anvers,Westmalle,"(51.2970123, 4.6933094)"
Microbrasserie de l'abbaye Saint-Gérard de Brogne,Mettet,Namur,Brogne,"(50.3212094, 4.6584949)"
Brasserie d'Achouffe (fait partie de Duvel Moortgat),Houffalize,Luxembourg,"Chouffe, McChouffe","(50.15096665, 5.745850863614394)"
Brasserie Affligem (fait partie d'Alken-Maes<Heineken),Opwijk,Brabant flamand,"Affligem, Postel, Ope-Ale, Florival","(50.9125769, 4.1125154)"
Brasserie Alken (fait partie d'Alken-Maes<Heineken),Alken,Limbourg,"Cristal Alken, Maes, Ciney, Grimbergen, Judas","(50.886684599999995, 5.2931618797596665)"
Brasserie Alvinne,Zwevegem,Flandre-Occidentale,Alvinne,"(50.78285655, 3.375586376478683)"
Brasserie Amburon,Tongres,Limbourg,Tungri,"(50.7806267, 5.4639172)"
