Beers,Type,Alcohol Content,Brewery,Municipality,Province,Parent,Rating,Check-ins,Description,Latitude,Longitude
3 Schténg,"Fermentation haute, Vieille Brune Flamande",0,Brasserie Grain d'Orge,Plombières,Liege,Unknown,3,3652,Unknown,50.7377318,5.9611134
IV Saison,Saison blonde,0,Brasserie de Jandrain-Jandrenouille,Orp-Jauche,Walloon Brabant,Unknown,3,11522,"Bière naturelle blonde 100% malt d'orge, non filtrée, non pasteurisée et refermentée en bouteille. Cette bière est brassée uniquement avec les 4 ingrédients de base (eau, malt, houblon, levure). Les 4 houblons différents utilisés lui donnent son caractère si particuliers. FoodPairing : apéritifs, viandes rouges et blanches, fromages, fruits de mer, Asian food...",50.6774819,4.977242748357577
V Cense,"Fermentation haute, Spéciale",0,Brasserie de Jandrain-Jandrenouille,Orp-Jauche,Walloon Brabant,Unknown,3,4705,"Bière naturelle ambrée, 100% malt d'orge, non filtrée, non pasteurisée et refermentée en Bouteille. Cette bière exprime la complexité de l'expression de 3 malts différents avec les houblons utilisés.
FoodPairing : viandes grillées, fromages et fromages bleu, desserts... a ne pas manquer, le fromager A table à Hannut affine/lave un de ses fromages à la V Cense. Un vrai délice!!!",50.6774819,4.977242748357577
VI Wheat,"Fermentation haute, Blanche",0,Brasserie de Jandrain-Jandrenouille,Orp-Jauche,Walloon Brabant,Unknown,3,6579,"Bière naturelle, mélange de malt de froment et d'orge, non filtrée, non pasteurisée et refermentée en bouteille. Cette bière offre une grande fraîcheur en bouche combinée à l'arôme des houblons utilisés pour la réaliser. FoodPairing : aperitifs, viandes (tous types), poissons, fruits de mer, desserts...",50.6774819,4.977242748357577
7-PK,Fermentation haute blonde,0,Brasserie Anders!,Halen,Limburg,Unknown,3,8801,"7PK is een blond haverbier met een alcoholgehalte van 7 procent. Het kruidige en aangename aroma geeft een pittige, fruitige smaak en wordt ondersteund met de typisch bittere toets van hop. Toegankelijk en eerlijk haverbier met een zacht bittere afdronk dat je doet hinniken van plezier! Ideaal als aperitief, smakelijk bij vis- en kalfsgerechten en lekker als terrasbiertje!",52.9587484,5.7233277
26.2 M,Fermentation haute Blonde,0,Brasserie de Bellevaux,Malmedy,Liege,Unknown,2,1196,Unknown,50.39129115,6.008729076521822
28 Triple,"Blonde,Triple",0,Brasserie 't Hofbrouwerijke,Putte,Antwerp,Unknown,3,9516,"A deep blond color which is developing a dense foam.

Sweetness of the alcohol and honey scent. Complex olfactory outcome essentially hopping with taste of citrus fruits and undergrowth (wet hay-grass). Sugar free dry beer, extremely light with a smooth input of mouth due to alcohol. As second taste, a nice bitterness. Taste any length and persistence for a unique pleasure. Natural effervescence, very round in the mouth.

The Caulier 28 has always been the historical premium brand of the brewery. The Caulier 28, is a line of beers dedicated to bars and Giks. They are bottled in traditional bottles with traditional labels. They are produced at Proef Brewerij using premium ingredients in small batches of 140 htl. This line is exclusive and expensive. The purpose of this line is to anchor the recognition that Caulier light beers have a lot of taste. They are extra taste. We bring those beers to international competitions and we already won three prices.",51.0570823,4.6310473
La 44 Blanche,"Fermentation haute, Blanche",0,Brasserie de La Gleize,Stoumont,Liege,Unknown,3,59,Unknown,50.4132524,5.8457201
La 44 Blonde,Blonde,0,Brasserie de La Gleize,Stoumont,Liege,Unknown,3,263,Unknown,50.4132524,5.8457201
La 44 Brune,Fermentation haute Brune,0,Brasserie de La Gleize,Stoumont,Liege,Unknown,3,45,Unknown,50.4132524,5.8457201
La 44 Brune Cuvée Spéciale,Fermentation haute Brune,0,Brasserie de La Gleize,Stoumont,Liege,Unknown,2,44,Unknown,50.4132524,5.8457201
La 44 Christmas,Fermentation haute christmas,0,Brasserie de La Gleize,Stoumont,Liege,Unknown,3,80,Unknown,50.4132524,5.8457201
La 44 Nuts Ambrée,Fermentation haute Spéciale belge,0,Brasserie de La Gleize,Stoumont,Liege,Unknown,2,51,Unknown,50.4132524,5.8457201
La 44 Tiger Triple,Fermentation haute Blonde,0,Brasserie de La Gleize,Stoumont,Liege,Unknown,3,126,Unknown,50.4132524,5.8457201
365 Pils Bière,Blonde,0,Brasserie Haacht,Boortmeerbeek,Flemish Brabant,Unknown,2,4712,Unknown,50.9808426,4.552216324874748
400-Quadrigenti,Fermentation haute blonde,0,Brasserie 't Hofbrouwerijke,Putte,Antwerp,Unknown,3,64,Unknown,51.0570823,4.6310473
421 Millevertus,Spéciale,0,Brasserie Millevertus,Tintigny,Luxembourg,Unknown,0,0,Unknown,49.6952272,5.4924175
1414 Ambrosius,Spéciale refermentée en bouteille,0,Brasserie Anders!,Halen,Limburg,Unknown,3,971,Unknown,52.9587484,5.7233277
La 1815,Ambrée,0,Brasserie des Fagnes,Couvin,Namur,Unknown,0,0,Unknown,50.083704350000005,4.5232510455510795
1842 by Caulier,"Fermentation haute blonde, refermentation en bouteille",0,Brasserie 't Hofbrouwerijke,Putte,Antwerp,Unknown,0,0,Unknown,51.0570823,4.6310473
2290 Vorselaar,Fermentation haute blonde refermentée en bouteille,0,Brouwerij Anders!,Halen,Limburg,Unknown,0,0,Unknown,50.9473174,5.105419518806779
Aardmonnik,Vieille brune,0,De Struise Brouwers,Vleteren,West Flanders,Unknown,0,0,Unknown,50.9317072,2.7380021
Aarschotse Bruine,Brune,0,Stadsbrouwerij Aarschot,Aarschot,Flemish Brabant,Unknown,2,953,Unknown,50.9885687,4.8396149
Abbaye d'Aulne Blonde des Pères 6,"Abbaye, Blonde",0,Brasserie du Val de Sambre,Thuin,Hainaut,Unknown,0,0,Unknown,50.365832,4.3300464
Abbaye d'Aulne Brune des Pères 6,"Abbaye, Brune",0,Brasserie du Val de Sambre,Thuin,Hainaut,Unknown,0,0,Unknown,50.365832,4.3300464
Abbaye d'Aulne Premier Cru,"Abbaye, Blonde",0,Brasserie du Val de Sambre,Thuin,Hainaut,Unknown,3,6784,"Blonde abbey beer with second fermentation in the bottle.

Result of passion and savoir-faire, this beer is characterised by a palette of strong and subtle flavours.

A beer with a rounded flavour, rich body and assertive character that places it among the top abbey beers.",50.365832,4.3300464
Abbaye d'Aulne Super Noël 9,"Abbaye, Bière de Noël",0,Brasserie du Val de Sambre,Thuin,Hainaut,Unknown,0,0,Unknown,50.365832,4.3300464
Abbaye d'Aulne Triple Blonde,"Abbaye, Triple",0,Brasserie du Val de Sambre,Thuin,Hainaut,Unknown,0,0,Unknown,50.365832,4.3300464
Abbaye d'Aulne Triple Brune,"Abbaye, Triple",0,Brasserie du Val de Sambre,Thuin,Hainaut,Unknown,0,0,Unknown,50.365832,4.3300464
Abbaye de Boneffe,"Abbaye, Brune",0,Brasserie de Tubize,Tubize,Walloon Brabant,Unknown,3,50,"Clear brown to reddish beer, small aery yellow head, bit stable, little adhesive. Aroma: sweet caramel, candi sugar, raisins, dried fruits, some port, orange peel, acacia honey. MF: ok carbon, medium body. Taste: lots of dried fruits, raisins, caramel, some spices, liquorish, cloves, aniseed, bit of mocha. Aftertaste: caramel, somewhat hoppy, spices, star anise, some mocha, cloves, chocolate, little bitter.",50.6959512,4.206305106273191
Abbaye de Bonne-Espérance,Abbaye,0,Brasserie La Binchoise,Binche,Hainaut,Unknown,3,2661,Unknown,50.4263301,4.126294247491478
Abbaye de Bonne-Espérance Grand Cru,Abbaye,0,Brasserie Het Anker,Malines,Antwerp,Unknown,3,66,Unknown,51.0315949,4.4728969
Abbaye d'Aulne Val de Sambre,"Abbaye, Ambrée",0,Brasserie du Val de Sambre,Thuin,Hainaut,Unknown,3,24,Unknown,50.365832,4.3300464
Abbaye de Forest,"Abbaye, Triple",0,Brasserie de Silly,Silly,Hainaut,Unknown,3,223,"Sister of the Abbaye de Forest Blonde, only available on draft in Italy and some selected pubs.",50.6494429,3.925039716650109
Abbaye de Gembloux,Triple,0,Brasserie Lefebvre,Rebecq,Walloon Brabant,Unknown,3,594,"L'Abbaye de Gembloux, Triple Lager à 8% vol. Douce, désaltérante et digeste, ne vous fiez pas aux apparences car l'Abbaye ne fait pas le moine !",50.6749419,4.152957560369655
Abbaye de la Thure,Abbaye,0,Brasserie Brootcoorens,Erquelinnes,Hainaut,Unknown,3,214,"Cloudy murky brown beer, small head, unstable, non adhesive. Aroma: dried fruits, caramel, rotten banana, overripe fruits, milk chocolate. MF: soft carbon, medium to full body. Taste: milk chocolate, some banana, caramel, raisins, little sweet, dried fruits. Aftertaste: some milk chocolate, bit of hops.",50.3070077,4.1069398
Abbaye de Saint-Martin Blonde,Abbaye,0,Brasserie de Brunehaut,Brunehaut,Hainaut,Unknown,3,12003,"Look: A golden straw colour, with a strong foam once opened then the bubbles gently rise to the top and a good head remains.

Nose: Sharp, lively and nervous, fermentation with a touch reminiscent of a flowery cheese.

In the mouth: A round, balance and full flavour. In the mouth it is floral, elegant and direct, almost feminine. A great beer that perfectly suits cheeses with a hard crust or some fine Bries and Camemberts.
The aftertaste has a noble bitterness.",50.50983,3.387649619910512
Abbaye de Saint-Martin Brune,Abbaye,0,Brasserie de Brunehaut,Brunehaut,Hainaut,Unknown,3,12003,"Look: A golden straw colour, with a strong foam once opened then the bubbles gently rise to the top and a good head remains.

Nose: Sharp, lively and nervous, fermentation with a touch reminiscent of a flowery cheese.

In the mouth: A round, balance and full flavour. In the mouth it is floral, elegant and direct, almost feminine. A great beer that perfectly suits cheeses with a hard crust or some fine Bries and Camemberts.
The aftertaste has a noble bitterness.",50.50983,3.387649619910512
Abbaye de Saint-Martin Cuvée de Noël,"Abbaye, Bière de Noël",0,Brasserie de Brunehaut,Brunehaut,Hainaut,Unknown,0,0,Unknown,50.50983,3.387649619910512
Abbaye de Saint-Martin Triple,"Abbaye, Triple",0,Brasserie de Brunehaut,Brunehaut,Hainaut,Unknown,3,9056,"Three varieties of malt and three of hops create the robust character of this St. Martin triple abbey ale.
Abbye St. Martin Ales are pure Belgium.",50.50983,3.387649619910512
Abbaye de Oudkerken,Abbaye,0,Brasserie Lefebvre,Rebecq,Walloon Brabant,Unknown,3,936,Unknown,50.6749419,4.152957560369655
Abbaye des Rocs Blonde,"Abbaye, Fermentation haute",0,Brasserie de l'abbaye des Rocs,Honnelles,Hainaut,Unknown,3,5828,Unknown,50.38168775,3.719061535766789
Abbaye des Rocs Brune,"Abbaye, Brune",0,Brasserie de l'abbaye des Rocs,Honnelles,Hainaut,Unknown,3,19708,"Abbaye des Rocs (9% alcohol vol.) is a pure malt beer, with no added sugar. The entire range of tastes is directly linked to the double fermentation, the precise quantities of malts (7 types) as well as the mixtures of three kinds of hops (Belgian, German and Czech). Its colour is a striking deep and majestic red. Its taste is rich and full of subtlety. It is tasted like a red wine with which it shares the ruby colour without having the tannin. It develops a strong sweet smell. It confirms the initial impression in the first mouthful, with a sharp body that is balanced with a certain fruitiness. It frees itself on the palate and develops an impressive depth of taste. Some traces of burnt wood are detectable, but never scorched even if it contains this kind of malt. The foretaste is very prolonged because of its rich and unctuous development throughout the mouth. The bitter and sugar tendencies (even though there is no sugar in its composition) compete and come back together to the taster's great satisfaction. It is a deep, mystic and extremely mature beer to be classed among the great products of our soil.",50.38168775,3.719061535766789
Abbaye des Rocs Grand Cru,"Abbaye, Ale",0,Brasserie de l'abbaye des Rocs,Honnelles,Hainaut,Unknown,3,14783,"Abbaye des Rocs Grand Cru has a rich, complex fruit aroma of cherries, golden raisins, peaches, and assorted dried fruit, laced with honey and caramel. Smooth, rich flavors reminiscent of cherries dipped in caramel, finishing with notes of dried chocolate, roasted almonds, and a hint of molasses.",50.38168775,3.719061535766789
Abbaye des Rocs Spéciale Noël,"Abbaye, Bière de Noël",0,Brasserie de l'abbaye des Rocs,Honnelles,Hainaut,Unknown,3,9170,Unknown,50.38168775,3.719061535766789
Abbaye du Park Blonde,"Abbaye, Blonde",0,Brasserie Haacht,Boortmeerbeek,Flemish Brabant,Unknown,0,0,Unknown,50.9808426,4.552216324874748
Abbaye du Park Brune,"Abbaye, Brune",0,Brasserie Haacht,Boortmeerbeek,Flemish Brabant,Unknown,0,0,Unknown,50.9808426,4.552216324874748
Abdis Blond,Blonde,0,Brasserie Roman,Audenarde,East Flanders,Unknown,0,0,Unknown,45.18442025,5.774715255279428
Abdis Bruin,Brune,0,Brasserie Roman,Audenarde,East Flanders,Unknown,0,0,Unknown,45.18442025,5.774715255279428
Abdis Tripel,Triple,0,Brasserie Roman,Audenarde,East Flanders,Unknown,0,0,Unknown,45.18442025,5.774715255279428
Abdij van Roosenberg Dubbel,Double,0,Brasserie Den Herberg,Hal,Flemish Brabant,Unknown,3,262,Unknown,53.7435722,-0.3394758
Abdij van Roosenberg Tripel,Triple,0,Brasserie Den Herberg,Hal,Flemish Brabant,Unknown,3,459,Unknown,53.7435722,-0.3394758
Achel 8 Blond,"Trappiste, Blonde",0,Abbaye d'Achel,Achel,Limburg,Unknown,0,0,Unknown,51.29913805,5.488183658756344
Achel 8 Bruin,"Trappiste, Brune",0,Abbaye d'Achel,Achel,Limburg,Unknown,0,0,Unknown,51.29913805,5.488183658756344
Achel Blond Extra,"Trappiste, Blonde",0,Abbaye d'Achel,Achel,Limburg,Unknown,3,195,Unknown,51.29913805,5.488183658756344
Achel Bruin Extra,"Trappiste, Brune",0,Abbaye d'Achel,Achel,Limburg,Unknown,0,0,Unknown,51.29913805,5.488183658756344
Aclote Black-out,Noire,0,Brasserie La Binchoise,Binche,Hainaut,Unknown,0,0,Unknown,50.4263301,4.126294247491478
Aclote Blonche,Blonde,0,Brasserie La Binchoise,Binche,Hainaut,Unknown,3,76,"This is a cross-over between a blonde and a blanche, this is why it's called a Blonche.",50.4263301,4.126294247491478
Adelardus,Abbaye,0,Brasserie Cornelissen,Brée,Limburg,Unknown,0,0,Unknown,48.1504032,-0.5188416
